layer,format,alpha,activation_mse,output_mse,output_nmse,clipped_fraction,zeroed_nonzero_fraction,max_abs_output_error
9,int8,2.196680036189202,3.6714134387324254e-05,7.82137790900521e-05,0.008897510661499628,1.757591962814331e-05,0.23020945017563108,0.24186529219150543
9,pot,6.94262378506466,0.0001526983421754316,0.0003287322761275311,0.037396210305298515,7.450580596923828e-09,0.0,0.14379888772964478
9,sp2,3.324139656616933,1.9472753045653798e-05,4.137816151835715e-05,0.004707132650360101,2.7045607566833496e-06,0.0029489256021799095,0.17530947923660278
10,int8,2.857430181783323,6.021838161379225e-05,0.00014027321516426716,0.012611580025589179,1.3329088687896729e-05,0.273004947880964,0.31714102625846863
10,pot,8.624663969358398,0.00017715612969148437,0.00040239719630668584,0.036178428200648,7.450580596923828e-09,0.0,0.17407573759555817
10,sp2,4.32402390279745,2.4846946396969502e-05,5.651074179976096e-05,0.005080725794147489,2.853572368621826e-06,0.0037152264740364753,0.21314135193824768
11,int8,3.0314445610133873,7.39386963313283e-05,0.00016477833798941204,0.012673998406015857,1.4789402484893799e-05,0.28984818855685496,0.7471234202384949
11,pot,5.774487617026973,0.00021228043491009358,0.00046777958823361967,0.03597947295730461,9.313225746154785e-07,0.0,0.5138098001480103
11,sp2,4.80343990591726,3.270744036736457e-05,7.050591365798971e-05,0.005422993387477131,2.339482307434082e-06,0.004330472642196279,0.5919644236564636
12,int8,3.0871620006561904,9.079720018563432e-05,0.0001958218036169183,0.014274298693137002,1.973658800125122e-05,0.33331800003275275,0.3677615821361542
12,pot,9.31807014721693,0.00023697221750043252,0.000508344904407239,0.03705545996725867,1.4901161193847656e-08,0.0,0.1963459551334381
12,sp2,5.363430998711268,3.570590975467556e-05,7.835741127330545e-05,0.0057118108028676555,2.4810433387756348e-06,0.006029384594181402,0.24049539864063263
13,int8,3.4197429101397616,0.00010455286549012112,0.000227140124715298,0.010162299273727271,3.205984830856323e-05,0.32895416364703844,0.6872597336769104
13,pot,24.75,0.00036124071967465654,0.0007850843321484144,0.035124846164483726,0.0,0.0,0.3132483661174774
13,sp2,5.418713498442373,4.845321092809231e-05,0.00010648502004817107,0.004764163281387335,3.255903720855713e-06,0.005563611250294215,0.42422717809677124
14,int8,3.8548385947007255,0.00016488644228496407,0.000512792163664567,0.013103337032913552,3.3408403396606445e-05,0.3239217212563502,3.5774192810058594
14,pot,22.163409880251155,0.0005858972028033598,0.0011072365458811117,0.028293126658093207,3.725290298461914e-08,0.0,1.3237223625183105
14,sp2,10.134490843525777,0.00010168777736916526,0.00027911228074126247,0.0071321337253708525,2.980232238769531e-07,0.008502705199615457,2.18618106842041
15,int8,12.049306654318087,0.0039369791638866145,0.01707216703824964,0.04816623772951807,1.3068318367004395e-05,0.5090336000421286,32.93949508666992
15,pot,692.0,0.0032097972608924304,0.005587540526355995,0.015764302487950153,0.0,0.0,3.1687822341918945
15,sp2,75.9579059361452,0.001668264205506443,0.0038021421404499326,0.010727102295099523,1.1920928955078125e-07,0.03608865349901188,16.48440933227539
